00001,CKH HOLDINGS,长和　　　　　　
00002,CLP HOLDINGS,中电控股　　　　
00003,HK & CHINA GAS,香港中华煤气　　
00004,WHARF HOLDINGS,九龙仓集团　　　
00005,HSBC HOLDINGS,汇丰控股　　　　
00006,POWER ASSETS,电能实业　　　　
00008,PCCW,电讯盈科　　　　
00010,HANG LUNG GROUP,恒隆集团　　　　
00011,HANG SENG BANK,恒生银行　　　　
00012,HENDERSON LAND,恒基地产　　　　
00014,HYSAN DEV,希慎兴业　　　　
00016,SHK PPT,新鸿基地产　　　
00017,NEW WORLD DEV,新世界发展　　　
00019,SWIRE PACIFIC A,太古股份公司Α　
00020,WHEELOCK,会德丰　　　　　
00023,BANK OF E ASIA,东亚银行　　　　
00027,GALAXY ENT,银河娱乐　　　　
00038,FIRST TRACTOR,第一拖拉机股份　
00041,GREAT EAGLE H,鹰君　　　　　　
00066,MTR CORPORATION,港铁公司　　　　
00069,SHANGRI-LA ASIA,香格里拉（亚洲）
00081,CH OVS G OCEANS,中国海外宏洋集团
00083,SINO LAND,信和置业　　　　
00086,SUN HUNG KAI CO,新鸿基公司　　　
00107,SICHUAN EXPRESS,四川成渝高速公路
00109,GOODRESOURCES,天成国际　　　　
00119,POLY PROPERTY,保利置业集团　　
00123,YUEXIU PROPERTY,越秀地产　　　　
00136,HENGTEN NET,恒腾网络　　　　
00144,CHINA MER HOLD,招商局国际　　　
00148,KINGBOARD CHEM,建滔化工　　　　
00151,WANT WANT CHINA,中国旺旺　　　　
00152,SHENZHEN INT'L,深圳国际　　　　
00165,CHINA EB LTD,中国光大控股　　
00168,TSINGTAO BREW,青岛啤酒股份　　
00173,K. WAH INT'L,嘉华国际　　　　
00175,GEELY AUTO,吉利汽车　　　　
00177,JIANGSU EXPRESS,江苏宁沪高速公路
00178,SA SA INT'L,莎莎国际　　　　
00200,MELCO INT'L DEV,新濠国际发展　　
00207,JOY CITY PPT,大悦城地产　　　
00215,HUTCHTEL HK,和记电讯香港　　
00220,U-PRESID CHINA,统一企业中国　　
00241,ALI HEALTH,阿里健康　　　　
00242,SHUN TAK HOLD,信德集团　　　　
00257,CHINA EB INT'L,中国光大国际　　
00267,CITIC,中信股份　　　　
00283,GOLDIN PPT,高银地产　　　　
00285,BYD ELECTRONIC,比亚迪电子　　　
00288,WH GROUP,万洲国际　　　　
00291,CHINA RES BEER,华润啤酒　　　　
00293,CATHAY PAC AIR,国泰航空　　　　
00297,SINOFERT,中化化肥　　　　
00303,VTECH HOLDINGS,　　　　　　　　
00308,CHINA TRAVEL HK,香港中旅　　　　
00315,SMARTONE TELE,数码通电讯　　　
00317,COMEC,中船防务　　　　
00322,TINGYI,康师傅控股　　　
00323,MAANSHAN IRON,马鞍山钢铁股份　
00330,ESPRIT HOLDINGS,思捷环球　　　　
00336,HUABAO INTL,华宝国际　　　　
00338,SHANGHAI PECHEM,上海石油化工股份
00341,CAFE DE CORAL H,大家乐集团　　　
00358,JIANGXI COPPER,江西铜业股份　　
00363,SHANGHAI IND H,上海实业控股　　
00371,BJ ENT WATER,北控水务集团　　
00384,CHINA GAS HOLD,中国燃气　　　　
00386,SINOPEC CORP,中国石油化工股份
00388,HKEX,香港交易所　　　
00390,CHINA RAILWAY,中国中铁　　　　
00392,BEIJING ENT,北京控股　　　　
00400,COGOBUY,科通芯城　　　　
00410,SOHO CHINA,ＳＯＨＯ中国　　
00425,MINTH GROUP,敏实集团　　　　
00439,KUANGCHI,光启科学　　　　
00440,DAH SING,大新金融　　　　
00489,DONGFENG GROUP,东风集团股份　　
00493,GOME,国美电器　　　　
00494,LI & FUNG,利丰　　　　　　
00506,CHINA FOODS,中国食品　　　　
00511,TVB,电视广播　　　　
00522,ASM PACIFIC,　　　　　　　　
00525,GUANGSHEN RAIL,广深铁路股份　　
00530,GOLDIN FIN HOLD,高银金融　　　　
00548,SHENZHENEXPRESS,深圳高速公路股份
00551,YUE YUEN IND,裕元集团　　　　
00552,CHINACOMSERVICE,中国通信服务　　
00553,NANJING PANDA,南京熊猫电子股份
00564,ZMJ,郑煤机　　　　　
00570,TRAD CHI MED,中国中药　　　　
00576,ZHEJIANGEXPRESS,浙江沪杭甬　　　
00586,CONCH VENTURE,海螺创业　　　　
00588,BEIJING N STAR,北京北辰实业股份
00590,LUK FOOK HOLD,六福集团　　　　
00604,SHENZHEN INVEST,深圳控股　　　　
00606,CHINA AGRI,中国粮油控股　　
00607,FULLSHARE,丰盛控股　　　　
00636,KERRY LOG NET,嘉里物流　　　　
00639,SHOUGANG RES,首钢资源　　　　
00656,FOSUN INTL,复星国际　　　　
00659,NWS HOLDINGS,新创建集团　　　
00665,HAITONG INT'L,海通国际　　　　
00669,TECHTRONIC IND,创科实业　　　　
00670,CHINA EAST AIR,中国东方航空股份
00683,KERRY PPT,嘉里建设　　　　
00688,CHINA OVERSEAS,中国海外发展　　
00694,BEIJING AIRPORT,北京首都机场股份
00699,CAR INC,神州租车　　　　
00700,TENCENT,腾讯控股　　　　
00715,CHINA OCEANWIDE,中泛控股　　　　
00728,CHINA TELECOM,中国电信　　　　
00732,TRULY INT'L,信利国际　　　　
00737,HOPEWELL INFR,合和公路基建　　
00751,SKYWORTHDIGITAL,创维数码　　　　
00753,AIR CHINA,中国国航　　　　
00754,HOPSON DEV HOLD,合生创展集团　　
00762,CHINA UNICOM,中国联通　　　　
00787,GLOBAL BRANDS,利标品牌　　　　
00806,VALUE PARTNERS,惠理集团　　　　
00813,SHIMAO PROPERTY,世茂房地产　　　
00817,CHINA JINMAO,中国金茂　　　　
00836,CHINA RES POWER,华润电力　　　　
00857,PETROCHINA,中国石油股份　　
00861,DC HOLDINGS,神州控股　　　　
00867,CMS,康哲药业　　　　
00868,XINYI GLASS,信义玻璃　　　　
00874,BAIYUNSHAN PH,白云山　　　　　
00880,SJM HOLDINGS,澳博控股　　　　
00881,ZHONGSHENG HLDG,中升控股　　　　
00883,CNOOC,中国海洋石油　　
00902,HUANENG POWER,华能国际电力股份
00911,HANGFAT GI-NEW,恒发洋参（新）　
00914,ANHUI CONCH,安徽海螺水泥股份
00916,CHINA LONGYUAN,龙源电力　　　　
00931,CHINA LNG,中国天然气　　　
00933,BRIGHTOIL,光汇石油　　　　
00934,SINOPEC KANTONS,中石化冠德　　　
00939,CCB,建设银行　　　　
00941,CHINA MOBILE,中国移动　　　　
00958,HN RENEWABLES,华能新能源　　　
00960,LONGFOR PPT,龙湖地产　　　　
00966,CHINA TAIPING,中国太平　　　　
00968,XINYI SOLAR,信义光能　　　　
00981,SMIC,中芯国际　　　　
00991,DATANG POWER,大唐发电　　　　
00992,LENOVO GROUP,联想集团　　　　
00995,ANHUIEXPRESSWAY,安徽皖通高速公路
00996,CARNIVAL GROUP,嘉年华国际　　　
00998,CITIC BANK,中信银行　　　　
01033,SINOPEC SSC,中石化油服　　　
